strategy_id,strategy_version,fake_llm_mode,case_id,category,difficulty,safety_sensitive,context_checksum,required_source_ids,cited_source_ids,groundedness,citation_correctness,citation_completeness,answer_relevance,instruction_following,uncertainty_handling,safety_compliance,approval_gate_compliance,forbidden_claim_avoidance,response_completeness,response_conciseness,structural_correctness,prompt_tokens,context_tokens,input_tokens,output_tokens,total_tokens,simulated_estimated_cost_usd,charge_incurred,latency_ms,response
baseline-concise,baseline-concise-v1,concise,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,125,238,5,243,0.00006575,False,0.0239,"Answer:
block public access [S1]"
baseline-concise,baseline-concise-v1,detailed,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,125,238,18,256,0.00008200,False,0.0231,"Answer:
block public access; encryption [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,135,125,260,17,277,0.00008625,False,0.0246,"Answer:
block public access; encryption; versioning [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,135,125,260,29,289,0.00010125,False,0.0244,"Answer:
block public access; encryption; versioning [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,132,125,257,23,280,0.00009300,False,0.0244,"Assessment:
block public access; encryption [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,factual-s3-controls,factual_lookup,easy,False,sha256:0dc603ed9989d873c3b3c82c416a5bbf17fced39cfe8860423d50f2cb9caa98c,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,132,125,257,36,293,0.00010925,False,0.0266,"Assessment:
block public access; encryption; versioning [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,119,232,5,237,0.00006425,False,0.0206,"Answer:
query execution ID [S1]"
baseline-concise,baseline-concise-v1,detailed,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,113,119,232,18,250,0.00008050,False,0.0216,"Answer:
query execution ID; workgroup [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,119,255,18,273,0.00008625,False,0.0232,"Answer:
query execution ID; workgroup; output location [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,136,119,255,30,285,0.00010125,False,0.0242,"Answer:
query execution ID; workgroup; output location [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,133,119,252,23,275,0.00009175,False,0.0238,"Assessment:
query execution ID; workgroup [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,factual-athena-workgroup,factual_lookup,medium,False,sha256:38e735bdb230fdb7179046d6962471579b3a1c784c2a991286a0e69085f29a61,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,133,119,252,37,289,0.00010925,False,0.0243,"Assessment:
query execution ID; workgroup; output location [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1,True,True,False,True,True,True,True,True,True,False,True,True,121,237,358,5,363,0.00009575,False,0.0317,"Answer:
first meaningful error [S1]"
baseline-concise,baseline-concise-v1,detailed,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1,True,True,False,True,True,True,True,True,True,False,True,True,121,237,358,20,378,0.00011450,False,0.0309,"Answer:
first meaningful error; exact object prefix [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1;S2,True,True,True,True,True,True,True,True,True,True,True,True,143,237,380,22,402,0.00012250,False,0.033,"Answer:
first meaningful error; exact object prefix; non-production test [S1] [S2]

Evidence:
[S1] [S2]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1;S2,True,True,True,True,True,True,True,True,True,True,True,True,143,237,380,34,414,0.00013750,False,0.0334,"Answer:
first meaningful error; exact object prefix; non-production test [S1] [S2]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1] [S2]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1;S2,True,True,True,True,True,True,True,True,True,True,True,True,140,237,377,29,406,0.00013050,False,0.0332,"Assessment:
first meaningful error; exact object prefix; non-production test [S1] [S2]

Evidence:
[S1] [S2]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,troubleshoot-glue-denied,troubleshooting,medium,False,sha256:74614ad5615f7fcc86677f2608b0b882e2b51b474700486c4fd6f58f8dd55e19,S1;S2,S1;S2,True,True,True,True,True,True,True,True,True,True,True,True,140,237,377,41,418,0.00014550,False,0.034,"Assessment:
first meaningful error; exact object prefix; non-production test [S1] [S2]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1] [S2]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,troubleshoot-late-feed,troubleshooting,hard,False,sha256:6b36131f14dd85ab7daad87aa5f23d0b0e4ed6c27ad2255bfaafda243604aaad,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,114,107,221,7,228,0.00006400,False,0.0204,"Answer:
pipeline freshness [S1]. Evidence is limited."
