strategy,query_id,query,category,difficulty,match_type,expected_document_ids,returned_document_ids,returned_chunk_ids,precision_at_1,precision_at_3,precision_at_5,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,hit,exact_document_success,latency_ms
semantic,s3-exact-zones,S3 landing validated curated and query result data prefixes,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-cost-awareness,demo-s3-data-lake-architecture:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-cost-awareness:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.0768
keyword,s3-exact-zones,S3 landing validated curated and query result data prefixes,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pipeline-monitoring;demo-athena-query-troubleshooting;demo-iam-least-privilege;demo-cost-awareness,demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1462
hybrid,s3-exact-zones,S3 landing validated curated and query result data prefixes,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pipeline-monitoring;demo-cost-awareness,demo-s3-data-lake-architecture:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pipeline-monitoring:000000;demo-cost-awareness:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.281
semantic,s3-exact-controls,block public access encryption versioning lifecycle rules,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-iam-least-privilege;demo-cost-awareness;demo-athena-query-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.074
keyword,s3-exact-controls,block public access encryption versioning lifecycle rules,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-iam-least-privilege;demo-cost-awareness;demo-athena-query-troubleshooting;demo-glue-job-troubleshooting,demo-s3-data-lake-architecture:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000;demo-athena-query-troubleshooting:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1267
hybrid,s3-exact-controls,block public access encryption versioning lifecycle rules,s3_architecture,easy,exact_keyword,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-iam-least-privilege;demo-cost-awareness;demo-athena-query-troubleshooting;demo-glue-job-troubleshooting,demo-s3-data-lake-architecture:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000;demo-athena-query-troubleshooting:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2661
semantic,s3-paraphrase-layout,How should object storage be separated from arrival through analytics-ready data?,s3_architecture,hard,paraphrase,demo-s3-data-lake-architecture,demo-cost-awareness;demo-pyspark-transformations;demo-s3-data-lake-architecture;demo-glue-job-troubleshooting;demo-iam-least-privilege,demo-cost-awareness:000000;demo-pyspark-transformations:000000;demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,0.0782
keyword,s3-paraphrase-layout,How should object storage be separated from arrival through analytics-ready data?,s3_architecture,hard,paraphrase,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-glue-job-troubleshooting;demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-cost-awareness,demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000;demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1298
hybrid,s3-paraphrase-layout,How should object storage be separated from arrival through analytics-ready data?,s3_architecture,hard,paraphrase,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-cost-awareness;demo-glue-job-troubleshooting;demo-athena-query-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-cost-awareness:000000;demo-glue-job-troubleshooting:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2794
semantic,s3-ambiguous-landing,What belongs in the landing zone?,s3_architecture,medium,ambiguous,demo-s3-data-lake-architecture,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-iam-least-privilege;demo-glue-job-troubleshooting;demo-cost-awareness,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-iam-least-privilege:000000;demo-glue-job-troubleshooting:000000;demo-cost-awareness:000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0717
keyword,s3-ambiguous-landing,What belongs in the landing zone?,s3_architecture,medium,ambiguous,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-athena-query-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1186
hybrid,s3-ambiguous-landing,What belongs in the landing zone?,s3_architecture,medium,ambiguous,demo-s3-data-lake-architecture,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-glue-job-troubleshooting;demo-iam-least-privilege,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,0.2588
semantic,s3-paraphrase-immutability,Keep source objects unchanged before validation and transformation,s3_architecture,medium,paraphrase,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-pipeline-monitoring;demo-iam-least-privilege;demo-glue-job-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-iam-least-privilege:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.074
keyword,s3-paraphrase-immutability,Keep source objects unchanged before validation and transformation,s3_architecture,medium,paraphrase,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-glue-job-troubleshooting;demo-pipeline-monitoring,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-glue-job-troubleshooting:000000;demo-pipeline-monitoring:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1245
hybrid,s3-paraphrase-immutability,Keep source objects unchanged before validation and transformation,s3_architecture,medium,paraphrase,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-pipeline-monitoring;demo-athena-query-troubleshooting;demo-glue-job-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2638
semantic,glue-exact-access-denied,Glue job AccessDenied execution role trust policy bucket policy KMS key policy,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-pipeline-monitoring;demo-athena-query-troubleshooting,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.0749
keyword,glue-exact-access-denied,Glue job AccessDenied execution role trust policy bucket policy KMS key policy,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-pipeline-monitoring,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1274
hybrid,glue-exact-access-denied,Glue job AccessDenied execution role trust policy bucket policy KMS key policy,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pipeline-monitoring;demo-s3-data-lake-architecture,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2791
semantic,glue-exact-first-error,first meaningful CloudWatch error failed run identifier job arguments,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-pipeline-monitoring;demo-s3-data-lake-architecture,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.0744
keyword,glue-exact-first-error,first meaningful CloudWatch error failed run identifier job arguments,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-pyspark-transformations;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pipeline-monitoring,demo-glue-job-troubleshooting:000000;demo-pyspark-transformations:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pipeline-monitoring:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1351
hybrid,glue-exact-first-error,first meaningful CloudWatch error failed run identifier job arguments,glue_troubleshooting,easy,exact_keyword,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-pyspark-transformations;demo-pipeline-monitoring;demo-athena-query-troubleshooting,demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2799
semantic,glue-paraphrase-input,My managed ETL task cannot read its input objects; where should I investigate?,glue_troubleshooting,hard,paraphrase,demo-glue-job-troubleshooting,demo-s3-data-lake-architecture,demo-s3-data-lake-architecture:000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0725
keyword,glue-paraphrase-input,My managed ETL task cannot read its input objects; where should I investigate?,glue_troubleshooting,hard,paraphrase,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-iam-least-privilege,demo-glue-job-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1295
hybrid,glue-paraphrase-input,My managed ETL task cannot read its input objects; where should I investigate?,glue_troubleshooting,hard,paraphrase,demo-glue-job-troubleshooting,demo-s3-data-lake-architecture;demo-pyspark-transformations;demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-athena-query-troubleshooting,demo-s3-data-lake-architecture:000000;demo-pyspark-transformations:000000;demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,0.2799
semantic,glue-ambiguous-workers,The workers are exhausted during processing,glue_troubleshooting,medium,ambiguous,demo-glue-job-troubleshooting,demo-athena-query-troubleshooting;demo-glue-job-troubleshooting;demo-iam-least-privilege;demo-pyspark-transformations;demo-pipeline-monitoring,demo-athena-query-troubleshooting:000000;demo-glue-job-troubleshooting:000000;demo-iam-least-privilege:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0707
keyword,glue-ambiguous-workers,The workers are exhausted during processing,glue_troubleshooting,medium,ambiguous,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-cost-awareness;demo-iam-least-privilege;demo-athena-query-troubleshooting;demo-pyspark-transformations,demo-glue-job-troubleshooting:000000;demo-cost-awareness:000000;demo-iam-least-privilege:000000;demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1182
hybrid,glue-ambiguous-workers,The workers are exhausted during processing,glue_troubleshooting,medium,ambiguous,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-athena-query-troubleshooting;demo-iam-least-privilege;demo-cost-awareness;demo-pyspark-transformations,demo-glue-job-troubleshooting:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000;demo-cost-awareness:000000;demo-pyspark-transformations:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2609
semantic,glue-paraphrase-last-success,Compare a failed data integration run with the most recent successful one,glue_troubleshooting,medium,paraphrase,demo-glue-job-troubleshooting,demo-pyspark-transformations;demo-glue-job-troubleshooting;demo-pipeline-monitoring;demo-athena-query-troubleshooting;demo-iam-least-privilege,demo-pyspark-transformations:000000;demo-glue-job-troubleshooting:000000;demo-pipeline-monitoring:000000;demo-athena-query-troubleshooting:000000;demo-iam-least-privilege:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.0765
keyword,glue-paraphrase-last-success,Compare a failed data integration run with the most recent successful one,glue_troubleshooting,medium,paraphrase,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-s3-data-lake-architecture;demo-pipeline-monitoring;demo-pyspark-transformations;demo-iam-least-privilege,demo-glue-job-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000;demo-pyspark-transformations:000000;demo-iam-least-privilege:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1321
hybrid,glue-paraphrase-last-success,Compare a failed data integration run with the most recent successful one,glue_troubleshooting,medium,paraphrase,demo-glue-job-troubleshooting,demo-glue-job-troubleshooting;demo-pyspark-transformations;demo-pipeline-monitoring;demo-s3-data-lake-architecture;demo-athena-query-troubleshooting,demo-glue-job-troubleshooting:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000;demo-athena-query-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2784
semantic,athena-exact-execution,Athena query execution ID selected workgroup output location database table definition,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-pyspark-transformations;demo-pipeline-monitoring;demo-s3-data-lake-architecture,demo-athena-query-troubleshooting:000000;demo-pyspark-transformations:000000;demo-pipeline-monitoring:000000;demo-s3-data-lake-architecture:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.0722
keyword,athena-exact-execution,Athena query execution ID selected workgroup output location database table definition,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-pipeline-monitoring;demo-cost-awareness;demo-iam-least-privilege,demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000;demo-cost-awareness:000000;demo-iam-least-privilege:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1302
hybrid,athena-exact-execution,Athena query execution ID selected workgroup output location database table definition,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-pipeline-monitoring;demo-cost-awareness;demo-glue-job-troubleshooting,demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-pipeline-monitoring:000000;demo-cost-awareness:000000;demo-glue-job-troubleshooting:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.2685
semantic,athena-exact-partitions,partition projection repair physical S3 layout schema mismatch,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-pyspark-transformations;demo-athena-query-troubleshooting;demo-s3-data-lake-architecture;demo-cost-awareness;demo-iam-least-privilege,demo-pyspark-transformations:000000;demo-athena-query-troubleshooting:000000;demo-s3-data-lake-architecture:000000;demo-cost-awareness:000000;demo-iam-least-privilege:000000,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,0.072
keyword,athena-exact-partitions,partition projection repair physical S3 layout schema mismatch,athena_troubleshooting,easy,exact_keyword,demo-athena-query-troubleshooting,demo-athena-query-troubleshooting;demo-cost-awareness;demo-s3-data-lake-architecture;demo-glue-job-troubleshooting;demo-pyspark-transformations,demo-athena-query-troubleshooting:000000;demo-cost-awareness:000000;demo-s3-data-lake-architecture:000000;demo-glue-job-troubleshooting:000000;demo-pyspark-transformations:000000,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,0.1235
