strategy_id,strategy_version,fake_llm_mode,case_id,category,difficulty,safety_sensitive,context_checksum,required_source_ids,cited_source_ids,groundedness,citation_correctness,citation_completeness,answer_relevance,instruction_following,uncertainty_handling,safety_compliance,approval_gate_compliance,forbidden_claim_avoidance,response_completeness,response_conciseness,structural_correctness,prompt_tokens,context_tokens,input_tokens,output_tokens,total_tokens,simulated_estimated_cost_usd,charge_incurred,latency_ms,response
baseline-concise,baseline-concise-v1,concise,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,117,1122,1239,20,1259,0.00033475,False,0.1817,"Answer:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,117,1122,1239,50,1289,0.00037225,False,0.1784,"Answer:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned.; a workgroup-enforced maximum amount of data one query may read before Athena terminates it as a cost-control action [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,138,1122,1260,48,1308,0.00037500,False,0.1896,"Answer:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned.; a workgroup-enforced maximum amount of data one query may read before Athena terminates it as a cost-control action [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,138,1122,1260,60,1320,0.0003900,False,0.192,"Answer:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned.; a workgroup-enforced maximum amount of data one query may read before Athena terminates it as a cost-control action [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
structured-troubleshooting,structured-troubleshooting-v1,concise,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,135,1122,1257,55,1312,0.00038300,False,0.1917,"Assessment:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned.; a workgroup-enforced maximum amount of data one query may read before Athena terminates it as a cost-control action [S1]

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
structured-troubleshooting,structured-troubleshooting-v1,detailed,ae-apo-008-athena-query-cost-guardrails-control,cost_optimization,intermediate,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,135,1122,1257,67,1324,0.00039800,False,0.1757,"Assessment:
Use isolated workgroups with enforced result locations, per-query scan cutoffs, tagged ownership, and alarms on aggregate bytes scanned.; a workgroup-enforced maximum amount of data one query may read before Athena terminates it as a cost-control action [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Steps:
1. Confirm evidence.
2. Validate scope.
3. Test non-destructively.

Safety:
Use non-destructive validation steps."
baseline-concise,baseline-concise-v1,concise,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,False,True,True,126,1122,1248,23,1271,0.00034075,False,0.1765,"Answer:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields. [S1]"
baseline-concise,baseline-concise-v1,detailed,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,126,1122,1248,56,1304,0.00038200,False,0.2933,"Answer:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields.; Inspect EXPLAIN output, add direct partition predicates, select required columns, compact or convert source files when justified, and remeasure scanned bytes. [S1]. Validate these points against the scoped evidence before making an operational decision."
grounded-evidence-first,grounded-evidence-first-v1,concise,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,147,1122,1269,54,1323,0.00038475,False,0.1938,"Answer:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields.; Inspect EXPLAIN output, add direct partition predicates, select required columns, compact or convert source files when justified, and remeasure scanned bytes. [S1]

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
grounded-evidence-first,grounded-evidence-first-v1,detailed,ae-apo-008-athena-query-cost-guardrails-failure,troubleshooting,advanced,False,sha256:8a1b47c50ec23a3c9f08a910a2ffa75d89699c784482a55bdf26d0a5fd1ec456,S1,S1,True,True,True,True,True,True,True,True,True,True,True,True,147,1122,1269,66,1335,0.00039975,False,0.1785,"Answer:
The query filters on a derived expression that prevents partition pruning and reads wide text files instead of selected columnar fields.; Inspect EXPLAIN output, add direct partition predicates, select required columns, compact or convert source files when justified, and remeasure scanned bytes. [S1]. Validate these points against the scoped evidence before making an operational decision.

Evidence:
[S1]

Uncertainty:
No additional uncertainty required by this case."
