strategy,query_id,query,category,difficulty,match_type,expected_document_ids,returned_document_ids,returned_chunk_ids,precision_at_1,precision_at_3,precision_at_5,recall_at_1,recall_at_3,recall_at_5,reciprocal_rank,hit,exact_document_success,latency_ms
semantic,rq-apo-008-athena-query-cost-guardrails-direct,Which primary control does the guide recommend to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,exact_keyword,apo-008-athena-query-cost-guardrails,apo-019-cloudwatch-alarm-runbook;apo-011-lambda-concurrency-backpressure;apo-034-qdrant-collection-safety;apo-008-athena-query-cost-guardrails;apo-015-step-functions-distributed-map-controls,apo-019-cloudwatch-alarm-runbook:000004;apo-011-lambda-concurrency-backpressure:000001;apo-034-qdrant-collection-safety:000001;apo-008-athena-query-cost-guardrails:000006;apo-015-step-functions-distributed-map-controls:000001,0.0,0.0,0.2,0.0,0.0,1.0,0.25,True,True,2.3063
keyword,rq-apo-008-athena-query-cost-guardrails-direct,Which primary control does the guide recommend to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,exact_keyword,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-028-cost-optimization-storage-compute;apo-008-athena-query-cost-guardrails;apo-028-cost-optimization-storage-compute;apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails:000000;apo-028-cost-optimization-storage-compute:000001;apo-008-athena-query-cost-guardrails:000001;apo-028-cost-optimization-storage-compute:000000;apo-008-athena-query-cost-guardrails:000005,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,11.3835
hybrid,rq-apo-008-athena-query-cost-guardrails-direct,Which primary control does the guide recommend to bound ad hoc query cost without preventing legitimate incident analysis or exposing another environment's results?,cost_optimization,intermediate,exact_keyword,apo-008-athena-query-cost-guardrails,apo-028-cost-optimization-storage-compute;apo-021-iam-cross-client-isolation;apo-034-qdrant-collection-safety;apo-011-lambda-concurrency-backpressure;apo-012-lambda-dependency-packaging,apo-028-cost-optimization-storage-compute:000001;apo-021-iam-cross-client-isolation:000001;apo-034-qdrant-collection-safety:000001;apo-011-lambda-concurrency-backpressure:000001;apo-012-lambda-dependency-packaging:000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,16.2585
semantic,rq-apo-008-athena-query-cost-guardrails-paraphrase,"How should a data engineer keep athena query cost guardrails and workgroup controls repeatable, reviewable, and correctly scoped?",cost_optimization,intermediate,paraphrase,apo-008-athena-query-cost-guardrails,apo-002-s3-lifecycle-cost-controls;apo-028-cost-optimization-storage-compute;apo-006-glue-worker-capacity-tuning;apo-017-eventbridge-archive-replay;apo-036-deployment-rollback-readiness,apo-002-s3-lifecycle-cost-controls:000004;apo-028-cost-optimization-storage-compute:000005;apo-006-glue-worker-capacity-tuning:000005;apo-017-eventbridge-archive-replay:000004;apo-036-deployment-rollback-readiness:000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.2732
keyword,rq-apo-008-athena-query-cost-guardrails-paraphrase,"How should a data engineer keep athena query cost guardrails and workgroup controls repeatable, reviewable, and correctly scoped?",cost_optimization,intermediate,paraphrase,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails:000000;apo-008-athena-query-cost-guardrails:000005;apo-009-athena-result-location-security:000000;apo-008-athena-query-cost-guardrails:000003;apo-008-athena-query-cost-guardrails:000001,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,True,True,11.1864
hybrid,rq-apo-008-athena-query-cost-guardrails-paraphrase,"How should a data engineer keep athena query cost guardrails and workgroup controls repeatable, reviewable, and correctly scoped?",cost_optimization,intermediate,paraphrase,apo-008-athena-query-cost-guardrails,apo-028-cost-optimization-storage-compute;apo-009-athena-result-location-security;apo-008-athena-query-cost-guardrails;apo-026-incident-missing-partitions;apo-007-athena-partition-projection,apo-028-cost-optimization-storage-compute:000005;apo-009-athena-result-location-security:000005;apo-008-athena-query-cost-guardrails:000005;apo-026-incident-missing-partitions:000004;apo-007-athena-partition-projection:000005,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.3333333333333333,True,True,15.7294
semantic,rq-apo-008-athena-query-cost-guardrails-troubleshooting,"An operator observes this condition: A dashboard refresh repeatedly reaches the scan cutoff even though its result set is small. What should be checked first, and what is the safe remediation?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-002-s3-lifecycle-cost-controls;apo-008-athena-query-cost-guardrails;apo-015-step-functions-distributed-map-controls;apo-034-qdrant-collection-safety;apo-016-eventbridge-schema-routing,apo-002-s3-lifecycle-cost-controls:000003;apo-008-athena-query-cost-guardrails:000004;apo-015-step-functions-distributed-map-controls:000004;apo-034-qdrant-collection-safety:000004;apo-016-eventbridge-schema-routing:000003,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5,True,True,2.284
keyword,rq-apo-008-athena-query-cost-guardrails-troubleshooting,"An operator observes this condition: A dashboard refresh repeatedly reaches the scan cutoff even though its result set is small. What should be checked first, and what is the safe remediation?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-008-athena-query-cost-guardrails;apo-018-cloudwatch-pipeline-observability;apo-020-iam-least-privilege-data-pipeline;apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails:000004;apo-008-athena-query-cost-guardrails:000005;apo-018-cloudwatch-pipeline-observability:000004;apo-020-iam-least-privilege-data-pipeline:000004;apo-008-athena-query-cost-guardrails:000003,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,True,True,12.0393
hybrid,rq-apo-008-athena-query-cost-guardrails-troubleshooting,"An operator observes this condition: A dashboard refresh repeatedly reaches the scan cutoff even though its result set is small. What should be checked first, and what is the safe remediation?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-008-athena-query-cost-guardrails;apo-015-step-functions-distributed-map-controls;apo-034-qdrant-collection-safety;apo-016-eventbridge-schema-routing;apo-020-iam-least-privilege-data-pipeline,apo-008-athena-query-cost-guardrails:000004;apo-015-step-functions-distributed-map-controls:000004;apo-034-qdrant-collection-safety:000004;apo-016-eventbridge-schema-routing:000004;apo-020-iam-least-privilege-data-pipeline:000004,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,True,True,16.3193
semantic,rq-apo-008-athena-query-cost-guardrails-terminology,"In the context of athena query cost guardrails and workgroup controls, what does the term 'scan cutoff' mean operationally?",cost_optimization,intermediate,ambiguous,apo-008-athena-query-cost-guardrails,apo-027-incident-duplicate-records;apo-015-step-functions-distributed-map-controls;apo-032-manifest-state-reconciliation;apo-021-iam-cross-client-isolation;apo-003-s3-event-delivery-diagnostics,apo-027-incident-duplicate-records:000006;apo-015-step-functions-distributed-map-controls:000006;apo-032-manifest-state-reconciliation:000006;apo-021-iam-cross-client-isolation:000006;apo-003-s3-event-delivery-diagnostics:000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,2.3563
